t,v
0.00302,-2.58326
0.00303,-2.5703
0.00304,-2.55721
0.00305,-2.544
0.00306,-2.53067
0.00307,-2.51721
0.00308,-2.50364
0.00309,-2.48995
0.0031,-2.47615
0.00311,-2.46223
0.00312,-2.44821
0.00313,-2.43408
0.00314,-2.41985
0.00315,-2.40551
0.00316,-2.39108
0.00317,-2.37655
0.00318,-2.36193
0.00319,-2.34722
0.0032,-2.33241
0.00321,-2.31752
0.00322,-2.30255
0.00323,-2.28749
0.00324,-2.27236
0.00325,-2.25715
0.00326,-2.24186
0.00327,-2.2265
0.00328,-2.21107
0.00329,-2.19557
0.0033,-2.18
0.00331,-2.16437
0.00332,-2.14868
0.00333,-2.13293
0.00334,-2.11712
0.00335,-2.10126
0.00336,-2.08534
0.00337,-2.06937
0.00338,-2.05335
0.00339,-2.03729
0.0034,-2.02118
0.00341,-2.00503
0.00342,-1.98884
0.00343,-1.97261
0.00344,-1.95635
0.00345,-1.94004
0.00346,-1.92371
0.00347,-1.90735
0.00348,-1.89095
0.00349,-1.87453
0.0035,-1.85809
0.00351,-1.84162
0.00352,-1.82513
0.00353,-1.80862
0.00354,-1.7921
0.00355,-1.77556
0.00356,-1.759
0.00357,-1.74244
0.00358,-1.72586
0.00359,-1.70927
0.0036,-1.69268
0.00361,-1.67608
0.00362,-1.65948
0.00363,-1.64288
0.00364,-1.62628
0.00365,-1.60968
0.00366,-1.59308
0.00367,-1.57649
0.00368,-1.5599
0.00369,-1.54333
0.0037,-1.52676
0.00371,-1.5102
0.00372,-1.49366
0.00373,-1.47713
0.00374,-1.46062
0.00375,-1.44412
0.00376,-1.42764
0.00377,-1.41119
0.00378,-1.39475
0.00379,-1.37834
0.0038,-1.36196
0.00381,-1.3456
0.00382,-1.32926
0.00383,-1.31296
0.00384,-1.29668
0.00385,-1.28044
0.00386,-1.26423
0.00387,-1.24805
0.00388,-1.23191
0.00389,-1.21581
0.0039,-1.19974
0.00391,-1.18372
0.00392,-1.16773
0.00393,-1.15178
0.00394,-1.13588
0.00395,-1.12002
0.00396,-1.10421
0.00397,-1.08844
0.00398,-1.07272
0.00399,-1.05705
0.004,-1.04143
0.00401,-1.02585
0.00402,-1.01033
0.00403,-0.994865
0.00404,-0.979451
0.00405,-0.964091
0.00406,-0.948787
0.00407,-0.93354
0.00408,-0.91835
0.00409,-0.903219
0.0041,-0.888147
0.00411,-0.873136
0.00412,-0.858186
0.00413,-0.843298
0.00414,-0.828473
0.00415,-0.813713
0.00416,-0.799017
0.00417,-0.784386
0.00418,-0.769822
0.00419,-0.755325
0.0042,-0.740896
0.00421,-0.726536
0.00422,-0.712245
